Visit_Hour,Day_Type,Triage_Level,Doctor_Load,Staff_To_Patient_Ratio,Resource_Utilization_Rate,Bed_Occupancy_%,Num_Transfers,Num_Process_Steps,Loop_Count,Rework_Count,Repeated_Tests,Data_Error_Count,System_Downtime_Impact,Discharge_Bottleneck_Index,Wait_Time_Min,TAT_Min,Bed_Delay_Min,Admission_Delay_Min,Total_Delay_Min,Delay_Risk
15,1,2,28,0.25,65,83,1,5,1,0,0,0,0,30,67,44,66,27,204,0
14,0,3,54,0.39,50,72,2,7,1,0,1,0,0,48,83,53,76,28,240,1
14,1,3,53,0.18,59,65,2,7,0,0,0,0,0,51,109,37,55,33,234,1
18,1,1,44,0.06,56,98,2,6,0,1,0,1,1,48,208,78,71,75,432,1
11,0,2,15,0.29,97,54,1,5,0,1,0,0,0,45,50,85,58,5,198,0
22,0,3,23,0.48,59,93,0,4,1,1,0,0,0,24,41,45,71,4,161,0
19,0,2,13,0.23,61,96,1,5,1,2,1,0,1,37,60,83,73,20,236,1
2,0,1,54,0.24,66,77,2,6,0,2,0,0,0,54,89,43,74,19,225,0
4,1,2,27,0.49,94,55,1,6,0,1,0,1,0,31,42,87,54,16,199,0
18,1,2,38,0.36,61,62,3,7,0,0,0,0,1,48,78,85,39,21,223,0
6,0,3,44,0.37,64,92,1,6,1,2,0,0,0,25,71,40,63,26,200,0
20,0,2,47,0.3,95,79,4,7,0,3,0,1,0,35,93,45,63,30,231,1
8,1,2,25,0.49,81,75,2,5,2,3,0,0,0,26,53,69,34,23,179,0
6,1,3,29,0.36,81,66,2,6,2,0,0,0,1,22,53,122,46,11,232,1
17,1,2,33,0.45,75,58,0,3,1,0,0,0,0,19,39,61,41,6,147,0
3,1,3,44,0.36,63,65,2,7,0,2,1,1,0,45,69,64,44,35,212,0
13,0,2,53,0.38,99,98,6,9,0,2,0,0,1,26,102,102,93,27,324,1
17,1,1,28,0.18,75,67,2,5,0,1,0,0,0,52,86,51,65,30,232,1
8,1,3,13,0.19,54,62,2,7,2,0,0,0,0,16,71,34,65,14,184,0
20,0,2,42,0.4,87,78,0,4,0,0,1,1,0,13,72,89,37,32,230,0
1,1,1,11,0.18,99,92,4,9,1,0,0,0,0,2,85,76,45,17,223,0
19,1,2,22,0.3,95,94,1,6,2,0,1,0,0,39,54,89,59,8,210,0
14,0,1,54,0.16,53,73,1,5,1,1,1,1,0,26,108,61,62,44,275,1
6,0,2,39,0.42,77,94,3,8,1,2,1,1,0,44,72,65,83,36,256,1
11,0,3,43,0.1,50,93,2,6,0,1,1,0,0,59,146,71,90,45,352,1
7,1,3,39,0.42,62,95,4,9,0,1,1,1,0,13,75,54,51,34,214,0
14,1,3,33,0.32,92,62,1,4,1,1,0,0,0,27,57,58,66,16,197,0
2,0,1,57,0.13,52,74,1,5,2,2,2,0,0,43,129,84,82,36,331,1
13,0,2,53,0.29,98,90,4,8,1,0,0,0,0,24,93,65,79,26,263,1
16,1,1,42,0.18,99,95,4,7,0,1,0,0,1,39,104,109,66,35,314,1
3,0,3,50,0.2,74,50,5,8,0,0,2,0,0,10,114,90,50,32,286,1
17,0,2,58,0.21,91,58,1,5,1,1,0,0,0,59,101,69,72,28,270,1
7,0,2,19,0.08,65,53,0,3,0,1,0,0,0,51,142,35,55,36,268,1
3,1,3,27,0.49,70,77,4,9,0,2,2,0,0,11,75,95,41,28,239,1
1,1,2,28,0.06,62,61,2,7,0,0,0,0,0,57,201,30,63,62,356,1
5,1,2,16,0.35,93,73,1,6,2,0,0,0,0,32,44,86,72,18,220,0
21,1,3,28,0.22,85,95,4,7,2,4,0,0,0,19,84,52,72,23,231,1
9,1,3,33,0.34,57,58,0,3,1,0,1,0,1,53,54,98,54,22,228,0
3,1,2,24,0.21,93,84,3,6,1,0,1,1,0,33,79,72,67,27,245,1
21,0,2,50,0.35,68,87,1,5,0,0,1,0,0,22,81,59,51,18,209,0
17,1,3,51,0.38,96,84,2,7,1,1,0,1,0,18,72,47,59,30,208,0
11,1,1,32,0.36,65,82,1,5,0,1,0,0,0,55,56,37,59,15,167,0
1,0,2,13,0.1,61,84,4,8,0,0,1,0,1,35,138,98,62,44,342,1
9,1,1,47,0.35,69,95,1,5,0,0,1,0,0,56,75,80,99,24,278,1
3,1,2,13,0.18,67,69,4,9,0,1,0,0,0,43,82,59,81,16,238,1
13,0,1,14,0.06,61,51,0,5,1,3,0,0,1,0,187,87,26,55,355,1
15,0,2,50,0.24,97,93,3,8,2,2,0,1,0,9,87,51,66,42,246,1
14,0,2,53,0.25,74,75,1,4,1,1,1,0,0,0,86,72,79,25,262,1
7,1,2,32,0.26,60,91,2,7,1,0,1,1,0,4,73,67,78,26,244,1
13,0,3,49,0.37,71,62,0,3,0,1,0,0,0,56,68,38,61,15,182,0
22,1,3,46,0.19,95,79,1,4,1,1,0,1,1,21,90,95,45,36,266,1
7,1,3,20,0.19,83,81,2,5,1,1,0,0,0,42,75,57,69,25,226,0
20,1,2,20,0.08,62,85,1,6,1,1,2,0,0,1,144,96,74,53,367,1
15,1,1,22,0.36,95,68,1,6,0,0,1,0,0,8,48,94,34,9,185,0
12,0,2,23,0.31,87,71,1,6,1,2,0,0,1,43,66,87,43,17,213,0
17,0,3,17,0.21,61,50,2,7,0,2,0,0,0,6,78,46,39,30,193,0
14,1,2,34,0.37,88,60,1,5,0,0,0,0,0,47,53,68,61,16,198,0
20,0,1,27,0.29,85,75,0,5,0,1,0,0,0,20,55,57,57,28,197,0
23,1,3,53,0.26,77,97,3,8,0,0,1,0,0,6,86,67,60,25,238,1
12,1,2,53,0.28,76,68,2,7,1,1,0,0,0,58,85,49,68,29,231,1
8,1,2,27,0.34,88,68,1,6,1,1,1,1,0,8,54,94,32,22,202,0
14,0,3,19,0.35,62,61,2,7,0,1,0,0,0,55,49,42,68,0,157,0
12,1,3,16,0.18,92,52,1,5,2,1,0,0,0,39,67,73,51,20,211,0
0,1,2,59,0.11,89,67,2,6,1,0,1,0,0,8,146,81,65,38,330,1
6,0,3,53,0.12,76,98,0,3,0,0,1,1,0,58,119,80,85,39,323,1
8,0,2,23,0.34,80,54,3,6,1,0,1,0,0,50,64,99,58,21,242,1
23,0,3,24,0.44,51,97,2,7,0,2,1,0,0,48,52,37,66,15,170,0
0,0,1,25,0.23,67,73,1,4,1,2,0,1,1,11,59,82,37,28,206,0
11,1,1,11,0.13,75,63,3,7,1,1,0,0,0,43,102,59,66,22,249,1
7,0,2,39,0.39,91,87,3,8,0,1,1,0,0,35,66,69,90,17,242,1
23,1,3,39,0.42,80,52,2,5,1,1,0,0,0,8,65,63,38,26,192,0
10,0,2,27,0.45,87,55,2,5,1,1,0,0,1,9,47,112,34,8,201,0
18,0,1,40,0.32,71,61,2,6,0,1,1,1,0,48,79,53,42,28,202,0
16,0,1,53,0.44,85,60,2,7,0,0,1,2,0,9,75,91,42,47,255,1
7,0,3,57,0.06,68,88,3,6,0,0,1,1,0,43,229,58,87,79,453,1
2,0,1,22,0.1,63,75,2,6,0,0,0,0,0,16,119,60,46,35,260,1
2,0,2,29,0.09,63,50,1,6,0,1,1,0,1,37,138,105,41,42,326,1
0,1,1,58,0.37,99,65,2,6,0,1,1,0,0,3,87,95,30,21,233,1
4,0,1,59,0.08,78,97,3,8,0,1,1,0,0,15,200,62,75,53,390,1
9,0,2,44,0.27,66,98,2,7,0,0,0,0,0,48,86,35,83,18,222,0
6,0,2,32,0.26,99,96,2,7,1,1,0,1,1,47,80,95,77,41,293,1
8,0,2,51,0.19,99,58,2,6,2,2,1,0,0,35,106,86,59,23,274,1
6,1,2,42,0.44,86,54,3,8,1,0,1,0,0,26,65,78,38,19,200,0
8,0,3,47,0.13,58,57,2,5,0,0,0,0,0,5,123,54,24,34,235,1
7,0,2,44,0.21,50,70,4,9,1,0,0,1,0,39,110,29,64,48,251,1
11,0,2,45,0.4,53,82,2,7,2,1,1,0,0,8,70,53,51,21,195,0
1,0,3,29,0.06,56,88,1,5,1,0,1,0,1,57,200,102,81,53,436,1
0,1,1,12,0.35,60,92,2,7,1,1,0,1,1,59,45,90,99,24,258,1
15,0,3,17,0.42,63,69,2,5,1,2,0,0,0,31,45,41,62,15,163,0
22,1,1,49,0.47,91,94,2,5,0,1,1,0,0,37,62,95,63,14,234,1
22,0,2,41,0.44,68,71,2,7,0,0,0,0,0,29,74,42,56,20,192,0
23,1,2,38,0.19,89,62,3,7,0,1,0,1,0,13,92,54,39,42,227,0
4,1,3,16,0.31,52,88,1,4,0,1,0,1,0,44,49,42,71,31,193,0
2,0,2,11,0.08,57,60,3,7,2,0,0,0,0,49,146,18,48,43,255,1
11,0,2,30,0.17,78,67,3,8,0,1,1,0,0,28,96,80,50,35,261,1
7,1,3,15,0.09,99,79,3,7,2,0,1,0,0,27,131,93,53,40,317,1
21,1,2,37,0.19,86,82,2,7,1,1,1,0,0,21,86,84,55,24,249,1
2,0,2,57,0.44,92,93,3,8,0,1,1,0,0,30,79,85,70,24,258,1
0,1,2,51,0.21,58,52,2,6,0,0,0,0,0,16,102,54,35,26,217,0
2,1,3,45,0.3,68,50,3,6,0,0,0,0,1,16,86,93,21,23,223,0
4,1,1,41,0.25,61,85,1,6,1,0,0,1,0,48,73,50,69,36,228,0
14,0,1,54,0.26,76,55,1,6,1,0,1,0,0,53,99,88,53,18,258,1
13,1,2,51,0.49,86,86,2,7,2,3,0,0,0,14,68,61,65,18,212,0
2,1,2,55,0.18,97,78,2,5,0,0,0,0,0,46,102,80,73,30,285,1
0,1,3,18,0.33,74,60,3,6,0,2,0,0,0,31,54,46,58,20,178,0
4,0,3,20,0.24,94,62,3,8,0,1,1,0,0,27,74,95,53,20,242,1
22,0,3,32,0.08,87,60,3,6,0,0,1,0,0,10,161,84,41,52,338,1
13,1,3,59,0.27,97,87,2,6,1,1,0,1,0,38,98,65,70,40,273,1
6,0,2,20,0.42,99,74,1,5,0,0,2,0,1,16,35,157,63,3,258,1
8,1,1,58,0.09,66,64,2,6,1,1,1,1,1,11,170,96,58,58,382,1
14,0,3,11,0.08,93,62,2,6,0,2,0,0,0,50,139,55,66,41,301,1
14,0,2,12,0.12,82,91,3,8,0,1,0,0,0,50,113,53,85,35,286,1
9,1,2,20,0.39,88,82,1,5,1,0,0,0,0,38,41,60,56,10,167,0
12,0,3,59,0.38,63,62,2,5,1,2,1,0,0,51,85,63,59,22,229,0
18,0,2,44,0.3,77,87,1,6,0,1,0,1,0,8,78,64,54,36,232,1
6,0,3,24,0.26,67,73,3,6,1,2,0,0,0,24,68,43,50,18,179,0
16,1,2,52,0.45,82,69,1,5,0,1,0,0,0,25,66,69,71,21,227,0
19,0,2,20,0.4,91,93,1,6,1,2,1,0,1,3,42,128,59,15,244,1
3,0,1,40,0.42,64,66,6,11,2,0,1,0,0,18,89,63,46,33,231,1
4,1,2,37,0.42,60,99,2,7,1,0,0,0,0,12,67,32,52,22,173,0
22,0,3,37,0.34,85,73,1,5,0,0,0,0,0,28,51,42,64,18,175,0
6,0,2,41,0.26,64,75,2,5,1,1,1,1,0,53,81,66,76,36,259,1
12,0,2,34,0.44,97,89,2,7,1,1,1,1,0,46,59,69,69,28,225,0
14,0,1,29,0.47,79,81,0,3,0,0,1,0,0,8,44,91,47,7,189,0
10,0,1,37,0.06,64,78,3,7,1,0,1,0,0,41,216,75,61,62,414,1
3,1,2,34,0.07,98,63,2,6,0,2,1,0,0,39,181,84,59,48,372,1
12,1,3,20,0.48,72,86,4,7,1,0,0,1,0,6,51,40,50,20,161,0
6,0,2,28,0.17,92,71,3,8,0,1,0,0,0,6,95,51,34,26,206,0
18,0,3,37,0.44,99,83,3,6,2,2,0,0,0,20,76,63,78,26,243,1
21,0,3,10,0.22,97,76,1,6,1,4,1,0,0,8,60,85,51,16,212,0
1,1,2,14,0.1,64,77,1,6,0,0,0,1,0,49,110,26,57,38,231,1
9,1,2,19,0.09,78,71,5,8,0,0,0,0,0,44,146,49,51,41,287,1
12,0,3,51,0.12,60,92,1,6,0,0,0,1,0,26,130,38,75,55,298,1
20,0,2,55,0.16,94,52,1,6,0,1,1,0,0,47,107,95,44,25,271,1
5,1,2,43,0.27,67,71,3,8,0,1,0,1,0,20,81,49,45,36,211,0
11,0,1,45,0.37,89,97,2,6,0,1,0,1,1,4,74,96,47,34,251,1
11,1,3,11,0.49,80,70,6,11,0,0,0,1,1,4,64,90,36,33,223,0
19,1,3,27,0.25,58,65,1,4,0,2,0,0,0,7,62,29,49,14,154,0
10,0,3,22,0.28,71,58,4,8,0,1,1,0,0,14,67,80,41,15,203,0
22,1,1,14,0.28,60,62,1,6,1,1,1,2,0,12,49,61,36,29,175,0
6,0,2,29,0.29,66,59,2,6,0,0,0,1,0,32,67,45,35,32,179,0
0,0,1,11,0.28,82,98,1,4,0,2,1,0,1,43,53,110,68,16,247,1
0,0,1,20,0.05,60,70,4,8,0,0,1,0,0,58,239,51,65,66,421,1
19,0,2,39,0.05,88,98,0,4,1,3,0,0,0,46,228,67,81,62,438,1
12,0,3,41,0.09,57,91,1,6,0,0,0,0,0,31,149,49,74,41,313,1
8,0,3,41,0.1,53,89,2,5,0,1,1,0,0,35,134,50,58,37,279,1
2,1,2,59,0.37,85,56,0,3,0,0,1,0,0,48,72,63,61,17,213,0
6,1,1,47,0.14,68,95,1,5,0,0,1,0,0,52,109,70,85,32,296,1
5,1,2,37,0.45,73,71,0,5,0,0,0,0,0,22,44,36,55,12,147,0
7,1,2,19,0.47,90,67,2,6,0,2,1,2,0,33,52,92,36,28,208,0
8,0,3,31,0.49,98,70,2,6,1,2,1,0,0,17,48,78,51,11,188,0
4,1,3,26,0.47,67,99,3,7,1,1,1,0,1,11,62,115,61,23,261,1
0,1,2,31,0.17,82,63,2,7,2,1,0,1,0,22,103,55,46,42,246,1
18,1,2,52,0.28,95,59,0,4,1,0,0,0,0,1,72,77,53,17,219,0
9,0,1,28,0.13,85,82,1,6,1,0,0,0,1,43,104,87,54,34,279,1
11,1,2,26,0.41,59,58,1,4,2,0,1,0,0,26,51,44,67,20,182,0
23,0,2,33,0.45,63,67,4,8,0,3,0,0,0,49,74,45,39,21,179,0
14,1,1,45,0.43,56,62,0,3,1,1,0,1,1,30,62,91,49,35,237,1
21,0,2,41,0.25,61,66,2,6,0,3,0,0,0,47,83,47,68,29,227,0
23,0,3,55,0.39,71,72,0,3,1,2,0,0,0,21,69,48,42,23,182,0
8,1,2,45,0.09,76,74,1,6,0,1,0,0,0,4,147,56,49,41,293,1
19,0,1,37,0.07,97,65,1,5,1,2,0,0,1,16,182,92,39,46,359,1
16,0,1,23,0.39,86,73,2,6,2,2,0,0,0,42,57,64,67,10,198,0
16,1,2,45,0.24,60,80,3,8,0,0,0,0,0,6,97,42,49,21,209,0
19,1,2,15,0.5,85,60,1,4,1,0,0,1,0,17,35,54,42,24,155,0
11,1,2,18,0.09,62,72,2,5,0,4,0,0,0,1,137,27,58,39,261,1
6,0,2,30,0.44,81,90,1,6,0,1,1,0,1,30,55,123,79,15,272,1
1,0,2,21,0.27,57,88,0,3,1,1,0,0,0,27,47,32,60,22,161,0
2,0,3,39,0.42,56,71,2,7,0,0,0,0,0,2,71,29,49,13,162,0
16,1,2,40,0.42,92,82,5,8,0,0,1,0,1,8,84,144,54,27,309,1
4,0,3,49,0.46,92,90,3,8,0,2,0,1,1,32,69,107,61,29,266,1
16,0,2,13,0.18,66,91,2,7,1,2,1,0,0,27,69,56,64,11,200,0
23,0,1,40,0.48,71,97,3,8,0,2,0,0,1,59,69,99,96,21,285,1
16,0,2,36,0.12,95,67,0,5,2,0,2,0,0,27,123,106,44,31,304,1
16,0,2,34,0.09,83,63,3,6,1,0,0,1,0,55,152,69,61,45,327,1
1,0,3,14,0.24,69,77,0,4,0,1,0,1,0,17,57,33,63,16,169,0
1,0,3,15,0.42,57,60,2,5,0,2,0,1,0,14,44,42,52,18,156,0
21,1,3,14,0.26,71,73,0,5,2,2,0,0,1,10,50,84,50,11,195,0
22,1,3,36,0.42,76,85,2,6,1,2,0,0,0,24,67,51,55,19,192,0
4,1,2,17,0.38,83,68,2,6,1,0,0,1,0,4,55,73,47,15,190,0
0,0,2,18,0.14,70,62,5,8,1,1,0,0,0,40,107,53,39,28,227,0
0,0,2,24,0.48,64,82,1,6,0,0,1,1,0,45,44,45,60,25,174,0
18,1,3,45,0.08,54,68,3,8,1,1,0,1,0,26,171,42,67,62,342,1
1,0,3,50,0.45,87,96,0,5,1,1,0,0,0,11,63,46,75,12,196,0
20,1,1,16,0.19,66,81,0,5,0,1,0,0,0,9,66,40,45,26,177,0
11,0,3,41,0.28,57,64,2,7,2,1,1,0,0,8,73,54,29,14,170,0
5,0,1,17,0.24,68,60,4,8,0,2,0,0,0,52,75,49,48,13,185,0
22,1,2,56,0.13,54,72,0,3,0,1,0,1,0,1,126,38,36,48,248,1
3,1,2,24,0.21,72,54,0,3,0,1,0,0,0,8,68,45,38,15,166,0
22,1,2,46,0.14,68,71,1,4,1,1,2,0,0,46,108,85,56,35,284,1
10,1,3,28,0.14,63,91,2,6,0,0,1,2,0,55,105,80,78,46,309,1
23,1,2,48,0.13,59,67,2,6,0,1,0,0,0,50,122,41,61,39,263,1
16,0,1,15,0.27,80,56,0,3,2,1,0,0,0,15,49,37,48,22,156,0
5,0,2,28,0.41,62,82,1,5,0,0,1,0,0,0,43,50,40,17,150,0
23,0,2,37,0.31,71,52,3,7,0,0,0,1,0,20,80,39,40,31,190,0
4,1,2,26,0.45,86,77,2,5,0,2,0,0,0,49,57,81,92,14,244,1
19,1,2,51,0.34,88,50,4,8,0,1,0,0,1,56,83,91,57,21,252,1
1,1,1,28,0.36,59,98,1,6,0,0,0,1,1,36,56,72,75,28,231,1
5,1,2,40,0.35,80,96,3,6,0,0,0,0,0,38,71,57,73,18,219,0
21,1,2,20,0.25,92,86,1,4,0,0,1,1,0,0,64,99,52,24,239,1
10,1,3,24,0.36,84,71,3,6,1,2,0,0,0,48,64,55,66,19,204,0
15,0,1,19,0.08,62,97,1,4,0,1,0,0,0,46,151,36,84,50,321,1
15,0,2,52,0.44,79,93,1,5,1,0,0,1,0,39,75,68,90,33,266,1
0,0,2,32,0.4,83,68,1,4,0,1,0,0,0,13,53,58,42,22,175,0
8,0,2,12,0.16,85,63,3,8,0,2,0,0,1,39,87,101,53,25,266,1
5,0,2,12,0.4,84,52,2,6,0,1,1,1,0,47,53,87,70,25,235,1
15,1,3,27,0.06,96,68,2,6,0,0,1,0,0,43,188,88,57,57,390,1
2,1,3,34,0.15,53,82,2,5,1,0,0,0,1,31,97,84,62,33,276,1
19,1,3,52,0.08,53,70,1,5,0,3,1,0,0,23,176,52,54,53,335,1
3,1,2,29,0.4,96,50,4,8,2,1,0,1,0,38,63,61,43,22,189,0
18,1,2,38,0.39,55,75,4,8,1,0,0,0,0,36,84,41,64,35,224,0
2,1,3,31,0.42,77,59,0,3,0,3,0,1,0,32,44,63,39,30,176,0
18,0,2,59,0.05,79,84,2,7,0,1,0,0,0,29,260,52,46,80,438,1
19,1,1,24,0.28,76,62,2,5,0,4,1,1,0,55,66,67,50,26,209,0
6,1,3,48,0.37,54,55,4,9,0,1,0,0,0,25,84,54,57,23,218,0
19,1,2,19,0.12,93,92,4,8,1,2,1,0,0,42,120,91,96,39,346,1
8,1,1,30,0.34,88,55,1,6,1,1,0,1,0,54,59,63,43,23,188,0
0,0,2,38,0.09,84,84,3,6,0,0,1,1,1,43,159,104,72,56,391,1
7,0,2,41,0.13,88,65,2,5,0,0,1,0,0,13,127,86,52,34,299,1
6,1,2,19,0.26,93,90,3,6,0,1,0,1,0,11,72,53,50,32,207,0
17,0,2,22,0.34,64,57,0,4,1,0,0,0,0,43,52,53,61,17,183,0
7,0,1,56,0.12,68,52,2,7,0,0,1,0,0,2,136,82,38,44,300,1
0,1,1,32,0.13,79,54,2,5,2,0,0,1,0,6,105,67,36,35,243,1
10,1,2,59,0.14,87,70,4,7,1,0,0,1,0,20,134,74,61,47,316,1
17,1,3,32,0.16,81,80,0,3,2,2,0,0,0,57,96,49,75,25,245,1
22,1,2,40,0.15,89,63,3,7,0,0,0,0,0,26,123,71,61,33,288,1
9,1,1,13,0.23,78,86,6,9,1,1,0,0,0,9,78,50,58,23,209,0
2,0,1,58,0.34,55,68,1,5,1,1,1,0,0,9,76,69,52,19,216,0
6,1,3,12,0.25,75,86,3,7,1,0,0,0,1,35,63,94,85,12,254,1
15,1,2,30,0.4,76,69,1,4,0,2,0,0,0,16,54,50,45,17,166,0
15,1,2,11,0.37,84,51,3,7,2,3,0,0,1,41,57,95,44,6,202,0
19,0,1,13,0.11,77,56,1,5,2,2,0,0,1,33,111,98,51,30,290,1
16,1,3,10,0.07,54,82,3,6,0,1,1,1,0,17,160,52,47,63,322,1
1,1,2,24,0.45,90,99,2,5,1,2,0,0,0,25,45,47,52,20,164,0
0,1,2,42,0.09,97,91,4,9,0,2,0,0,1,59,157,118,66,50,391,1
15,0,1,15,0.12,65,55,2,5,1,0,0,0,0,1,101,42,41,28,212,0
11,1,2,16,0.06,90,56,2,7,1,1,1,1,0,8,182,97,31,67,377,1
4,1,3,28,0.33,67,93,1,6,0,0,2,0,0,53,61,97,65,28,251,1
4,1,3,53,0.31,62,67,0,5,0,1,0,0,0,44,68,46,56,22,192,0
22,0,2,10,0.49,92,92,1,4,0,1,1,1,0,4,34,99,48,24,205,0
8,1,3,48,0.45,74,78,3,8,0,0,0,0,0,25,68,47,48,30,193,0
8,1,1,28,0.23,59,68,1,6,0,0,0,0,0,51,85,49,61,28,223,0
2,1,2,54,0.22,78,74,3,8,1,1,0,0,0,40,106,55,75,28,264,1
18,0,2,35,0.18,59,53,2,5,1,1,1,1,0,14,98,42,43,30,213,0
15,1,2,53,0.12,55,62,2,5,0,3,1,0,0,24,134,54,46,43,277,1
15,1,3,21,0.11,65,81,3,6,1,1,0,1,0,25,126,37,64,43,270,1
2,1,1,31,0.11,74,76,3,6,0,0,1,0,0,27,128,65,65,40,298,1
19,0,2,22,0.1,93,83,3,7,0,1,0,0,0,22,141,56,64,36,297,1
23,0,2,37,0.16,53,77,0,3,1,1,0,0,0,20,86,17,59,23,185,0
21,1,2,23,0.19,86,58,1,6,0,1,1,1,0,21,75,84,41,36,236,1
23,0,2,31,0.48,83,57,0,3,0,1,2,0,0,18,44,91,62,2,199,0
0,0,1,39,0.31,68,70,2,6,0,0,0,0,0,49,66,46,64,31,207,0
23,0,3,53,0.49,82,95,1,5,1,0,1,0,0,9,72,83,65,14,234,1
19,1,2,29,0.22,53,79,5,9,1,2,1,0,0,41,88,55,61,23,227,0
10,1,2,53,0.26,93,78,3,6,0,1,0,0,0,35,87,72,71,24,254,1
16,0,3,36,0.2,83,58,2,6,0,1,0,0,0,30,92,62,60,26,240,1
7,0,3,47,0.13,61,62,2,6,1,1,0,0,0,30,116,38,56,30,240,1
3,0,1,51,0.11,80,67,1,5,0,1,1,0,1,34,139,118,66,49,372,1
5,1,3,50,0.48,65,87,1,4,0,1,0,0,1,51,71,93,87,18,269,1
7,1,1,43,0.49,51,71,1,5,0,1,0,0,0,57,54,33,80,21,188,0
19,0,1,48,0.07,98,80,0,4,2,0,0,0,0,10,184,74,52,50,360,1
2,0,2,50,0.12,51,84,3,8,1,0,0,0,0,16,133,44,64,32,273,1
15,0,3,53,0.24,85,91,5,10,1,0,1,0,0,32,107,75,67,35,284,1
2,0,1,46,0.13,55,91,1,6,1,0,1,0,0,21,118,65,66,41,290,1
17,1,2,10,0.21,72,59,3,7,1,0,0,0,0,42,64,46,51,19,180,0
13,0,1,24,0.11,88,58,2,7,0,2,0,1,1,25,114,109,33,56,312,1
17,1,3,41,0.26,96,80,2,5,1,2,0,0,0,35,87,56,72,24,239,1
1,0,2,17,0.17,93,93,0,5,1,2,1,0,0,47,61,87,71,19,238,1
21,0,2,42,0.21,86,89,0,3,1,1,1,1,0,1,79,82,59,30,250,1
2,0,2,27,0.09,95,73,1,6,0,1,1,1,0,31,138,92,68,48,346,1
15,0,3,54,0.24,65,90,3,8,0,2,0,1,0,2,102,46,53,46,247,1
8,0,3,38,0.49,92,98,3,8,1,2,0,0,0,55,72,62,97,29,260,1
3,1,2,41,0.2,93,57,2,5,0,2,1,0,0,37,96,73,48,34,251,1
0,0,2,42,0.44,68,99,2,5,0,1,1,0,0,49,67,65,79,15,226,0
3,0,3,14,0.43,98,69,1,6,0,0,1,0,0,22,38,82,48,9,177,0
0,0,1,27,0.48,73,66,3,6,1,0,0,0,0,49,55,60,61,8,184,0
13,1,3,57,0.41,76,77,2,7,0,2,0,0,1,0,78,99,43,31,251,1
20,1,3,19,0.35,56,55,1,5,0,1,0,0,0,4,47,20,33,20,120,0
